,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
199511,3.96,-1.09,0.42,0.6,0.75,0.51,-0.68
199512,1.03,0.7,0.49,-0.98,3.99,0.22,2.52
199601,2.26,-2.73,0.43,1,1.27,0.38,0.54
199602,1.33,1.79,0.39,2.17,-1.29,-1.08,0.59
199603,0.73,1.49,0.39,-0.11,-0.25,0.35,-1.84
199604,2.06,5.23,0.46,0.69,-0.72,-4.02,-0.88
199605,2.36,3.17,0.42,-1.07,1.24,-0.83,1.54
199606,-1.14,-4.01,0.4,-0.18,-0.15,2.35,0.98
199607,-5.97,-4.31,0.45,-2.44,-0.01,5.14,-0.16
199608,2.77,2.44,0.41,2.55,-1.59,-0.74,0.01
199609,5.01,-0.98,0.44,0.54,-2.13,-2.72,2.7
199610,0.86,-4.44,0.42,-1.12,0.09,4.94,3.79
199611,6.25,-4.02,0.41,0.21,-2.46,1.39,-2.37
199612,-1.7,3.16,0.46,0.64,-0.57,1.31,0.63
199701,4.99,-1.95,0.45,2.62,-1.55,-1.42,1.96
199702,-0.49,-3.22,0.39,1.25,0.89,5.67,-2.13
199703,-5.03,-0.36,0.43,0.88,2.09,3.39,0.9
199704,4.04,-5.77,0.43,2.43,-3.86,0.07,4.84
199705,6.74,5.19,0.49,2.87,-2.15,-4.13,-5.17
199706,4.1,1.22,0.37,0.73,0.18,1.58,2.6
199707,7.33,-2.74,0.43,3.87,-1.16,0.26,3.77
199708,-4.15,7.28,0.41,-0.16,3.18,1.18,-2.56
199709,5.35,2.53,0.44,1.7,-0.41,0.37,1.47
199710,-3.8,-0.73,0.42,-0.96,0.43,2.27,-0.57
199711,2.98,-5.12,0.39,-2.01,1.08,1.2,0.33
199712,1.32,-2.48,0.48,-2.91,0.1,3.84,3.98
199801,0.15,-1.07,0.43,5.02,-0.91,-1.63,0.14
199802,7.04,0.32,0.39,1.92,-1.29,-0.85,-1.12
199803,4.76,-1.14,0.39,1.84,2.22,1.39,2.15
199804,0.73,0.07,0.43,1.7,-0.87,0.94,0.74
199805,-3.07,-3.38,0.4,0.74,1.42,3.44,1.82
199806,3.18,-3.21,0.41,-1.44,-0.76,-1.96,7.28
199807,-2.46,-4.91,0.4,-2.02,0.27,-1.78,3.69
199808,-16.08,-5.69,0.43,-2.66,4.63,3.53,1.84
199809,6.15,0.09,0.46,2.75,0.33,-3.42,-0.81
199810,7.13,-3.12,0.32,9.85,-4.25,-2.23,-5.37
199811,6.1,1.23,0.31,1.32,-0.44,-3.25,1.2
199812,6.16,-0.5,0.38,-1.63,-0.97,-4.19,8.92
199901,3.5,0.75,0.35,-2.32,1.04,-4.6,3.03
199902,-4.08,-6.08,0.35,2.46,0.38,1.92,-0.1
199903,3.45,-3.8,0.43,0.21,-1.21,-2.74,-1.27
199904,4.33,3.91,0.37,2.37,5.46,2.46,-9.04
199905,-2.46,3.34,0.34,1.21,3.41,2.35,-5.19
199906,4.77,3.1,0.4,1.7,0.59,-3.19,5.06
199907,-3.49,2.6,0.38,1.54,1.87,-0.44,1.66
199908,-1.38,-0.94,0.39,-3.39,-1.82,-1.87,3.12
199909,-2.79,3.41,0.39,-0.61,0.39,-3.49,6.47
199910,6.12,-6.64,0.39,-1.49,-2.86,-3.37,5.5
199911,3.37,7.21,0.36,0.43,4.84,-6.12,5.64
199912,7.72,7.03,0.44,-14.01,5.5,-8.33,13.22
200001,-4.74,5.77,0.41,2.61,1.67,-1.88,1.92
200002,2.45,21.36,0.43,-13.47,7.33,-9.59,18.2
200003,5.2,-17.2,0.47,9.89,-5.15,8.13,-6.83
200004,-6.4,-6.68,0.46,-2.18,0.28,7.26,-8.39
200005,-4.42,-6.05,0.5,-8.89,-1.67,4.75,-8.98
200006,4.64,12.84,0.4,12.39,2.4,-8.42,16.6
200007,-2.51,-3.07,0.48,6.51,-3.06,8.31,-0.05
200008,7.03,-0.61,0.5,0.54,1.21,-1.39,5.73
200009,-5.45,-1.82,0.51,2.64,-2.6,7.17,1.97
200010,-2.76,-3.88,0.56,-4.8,-0.93,5.71,-4.48
200011,-10.72,-3.41,0.51,-14.63,0.48,12.3,-2.32
200012,1.19,0.73,0.5,-6.88,2.75,7.61,6.74
200101,3.13,6.68,0.54,16.21,-2.57,-5.07,-25.3
200102,-10.05,-0.78,0.38,12.19,10.99,12.47,12.57
200103,-7.26,0.25,0.42,-7.54,3.71,6.42,8.55
200104,7.94,0.55,0.39,9.87,-3.75,-4.67,-7.9
200105,0.72,2.5,0.32,3.8,3.76,3.36,2.21
200106,-1.94,6.24,0.28,0.6,1.81,-1.12,0.38
200107,-2.13,-4.19,0.3,1.38,2.82,5.21,5.58
200108,-6.46,2.48,0.31,-3.9,5.89,2.31,5.53
200109,-9.25,-6.23,0.28,-4.96,0.01,1.45,11.48
200110,2.46,7.48,0.22,14.84,-1.53,-7.65,-8.47
200111,7.54,-0.47,0.17,-3.13,0.4,2.21,-8.69
200112,1.6,4.74,0.15,1.68,1.11,0.84,0.07
200201,-1.44,1.19,0.14,2.13,3.3,3.44,3.75
200202,-2.29,-1.01,0.13,0.05,4.07,2.16,6.82
200203,4.24,4.21,0.13,2.75,2.08,1.06,-1.64
200204,-5.2,5.96,0.15,2.11,5.96,3.88,7.63
200205,-1.38,-3.21,0.14,-2.68,2.35,1.53,3.16
200206,-7.21,4.29,0.13,-3.58,2.09,-0.05,6.03
200207,-8.18,-5.28,0.15,1.28,-3.04,-3.85,3.77
200208,0.5,-2.86,0.14,1.52,-0.54,3.28,1.9
200209,-10.35,2.41,0.14,-1.77,-0.68,1.45,9.13
200210,7.84,-3.42,0.14,7.39,-0.2,-3.94,-5.58
200211,5.96,3.19,0.12,0.18,4.22,-1.26,-16.33
200212,-5.76,0.08,0.11,10.74,2.05,2.14,9.64
200301,-2.57,1.32,0.1,0.28,0.31,-0.81,1.55
200302,-1.88,-0.46,0.09,-0.69,-1.85,-1.37,1.17
200303,1.09,1.02,0.1,0.03,-2.75,-1.94,1.48
200304,8.22,0.62,0.1,3,-0.82,1.15,-9.33
200305,6.05,4.67,0.09,-1.52,3.53,0.39,-10.7
200306,1.42,1.74,0.1,-0.11,1.2,0.11,-1
200307,2.35,5.06,0.07,2.49,0.8,-1.24,-0.24
200308,2.34,2.59,0.07,-1.5,-0.47,1.53,-0.62
200309,-1.24,0.79,0.08,4.62,1.1,0.17,-0.19
200310,6.08,2.69,0.07,2.17,2,1.97,3.99
200311,1.35,2.08,0.07,-1.57,1.92,1.78,1.46
200312,4.29,-2.67,0.08,1.84,1.92,1.6,-5.57
200401,2.15,2.55,0.07,2.32,2.01,2.49,2.58
200402,1.4,-1.57,0.06,1.55,-2.93,0.88,-1.14
200403,-1.32,1.72,0.09,-2.16,-1.77,0.27,0.17
200404,-1.83,-1.7,0.08,-0.2,-2.23,-3.07,-5.38
200405,1.17,-0.2,0.06,2.28,0.88,-0.25,1.5
200406,1.86,2.26,0.08,0.32,1.76,1.18,2.05
200407,-4.06,-3.82,0.1,-1.41,-2.53,3.24,-2.29
200408,0.08,-1.48,0.11,-2.39,-2.91,0.97,-1.59
200409,1.6,3.01,0.11,3.1,-1.34,0,5.49
200410,1.43,0.15,0.11,0.25,0.93,-0.22,-1.38
200411,4.54,3.74,0.15,1.53,-1.12,1.41,3.16
200412,3.43,-0.03,0.16,0.94,0.88,-0.22,-2.87
200501,-2.76,-1.72,0.16,1.46,-2.97,2.06,3.05
200502,1.89,-0.57,0.16,-2.45,-1.44,1.54,3.37
200503,-1.97,-1.4,0.21,0.09,-0.69,2.04,0.41
200504,-2.61,-3.94,0.21,-1.84,-1.44,0.07,-0.69
200505,3.65,2.88,0.24,3.17,0.6,-0.64,0.45
200506,0.57,2.58,0.23,0.03,-1.55,2.83,2.05
200507,3.92,2.91,0.24,-0.17,0.88,-0.79,0.06
200508,-1.22,-0.97,0.3,-1.37,0.41,1.32,2.08
200509,0.49,-0.65,0.29,-3.69,-0.07,0.71,3.43
200510,-2.02,-1.25,0.27,1.61,-0.93,0.42,-1.39
200511,3.61,1,0.31,0.1,0.27,-1.16,0.35
200512,-0.25,-0.42,0.32,2.04,-0.89,0.2,0.77
200601,3.04,5.4,0.35,-1,1.2,1.08,2.53
200602,-0.3,-0.38,0.34,3.39,1.3,-0.34,-1.84
200603,1.46,3.44,0.37,-0.08,0.51,0.6,1.26
200604,0.73,-1.42,0.36,-0.33,-0.37,2.34,0.64
200605,-3.57,-2.96,0.43,-0.04,-0.14,2.41,-3.7
200606,-0.35,-0.39,0.4,-0.57,-1.1,0.85,1.54
200607,-0.78,-3.98,0.4,0.22,1.43,2.6,-2.12
200608,2.03,1.03,0.42,1.77,2.99,-2.06,-3.38
200609,1.84,-1.36,0.41,0.76,1.78,0.08,-0.96
200610,3.23,1.75,0.41,-0.26,-0.51,-0.31,-0.2
200611,1.71,0.7,0.42,-0.91,-1.91,0.14,-1.03
200612,0.87,-1.15,0.4,2.41,1.93,2.73,0.79
200701,1.4,0.12,0.44,1.09,-0.72,-0.68,0.24
200702,-1.96,1.19,0.38,0.18,-0.68,-0.14,-1.35
200703,0.68,0.16,0.43,-2.05,-1.14,-0.97,2.56
200704,3.49,-2.16,0.44,-0.31,0.31,-1.45,-0.24
200705,3.24,0.24,0.41,-0.99,-2.48,-0.65,-0.34
200706,-1.96,0.75,0.4,-0.65,-0.16,-1.05,0.51
200707,-3.73,-2.61,0.4,-3.59,-2.06,-3.71,2.94
200708,0.92,-0.13,0.42,-2.61,-0.11,-1.86,0.1
200709,3.22,-2.23,0.32,0.36,-2.81,-2.21,4.63
200710,1.8,0.08,0.32,-3.96,-1.57,-2.98,5.02
200711,-4.83,-2.93,0.34,-1.69,0.64,-0.94,0.99
200712,-0.87,0.13,0.27,-2.05,-1.89,-0.55,6.63
200801,-6.36,-1.03,0.21,6.93,1.79,3.97,-7.75
200802,-3.09,-0.43,0.13,5.05,-2.09,-0.84,6.1
200803,-0.93,0.71,0.17,-0.37,2.85,0.3,4.27
200804,4.6,-1.72,0.18,3.13,-4.53,-0.94,-0.31
200805,1.86,2.96,0.18,-2.28,-4.45,-1.43,3.31
200806,-8.44,1.23,0.17,-7.09,-3.17,-2.71,12.75
200807,-0.77,2.6,0.15,7.94,7.59,5.42,-5.13
200808,1.53,3.6,0.13,-0.51,1.39,1.59,-4.02
200809,-9.24,-1.23,0.15,-3.75,5.78,5.91,0.28
200810,-17.23,-2.6,0.08,-9.37,2.23,-2.3,7.85
200811,-7.86,-2.85,0.03,-9.99,-2.54,-6.31,7.17
200812,1.74,3.46,0,5.46,0.11,0.14,-5.09
200901,-8.12,0.07,0,0.18,-6.97,-11.29,-2.18
200902,-10.1,0.05,0.01,-7.01,1.16,-6.95,4.41
200903,8.95,0.03,0.02,3.04,3.57,3.47,-11.87
200904,10.18,5.39,0.01,-6.52,-0.33,5.36,-34.3
200905,5.21,-2.52,0,-2.71,-1.48,0.28,-12.49
200906,0.43,2.63,0.01,4.8,1.31,-2.73,5.48
200907,7.72,1.87,0.01,4.43,5.05,4.83,-5.55
200908,3.33,-1.08,0.01,-2.08,5.62,7.63,-9.07
200909,4.08,2.43,0.01,1.12,-1.68,1.04,-4.79
200910,-2.59,-4.35,0,2.14,-4.9,-4.21,2.61
200911,5.56,-2.4,0,0.45,1.39,-0.34,0.3
200912,2.75,6.05,0.01,1.47,0.71,-0.16,3.01
201001,-3.36,0.4,0,3.64,1.63,0.43,-5.4
201002,3.4,1.19,0,1.63,2.62,3.22,3.74
201003,6.31,1.48,0.01,0.8,4.41,2.21,3.76
201004,2,4.87,0.01,-1.86,4.81,2.89,3.16
201005,-7.89,0.09,0.01,0.52,-3.07,-2.44,-0.25
201006,-5.57,-1.81,0.01,-4.87,-5.47,-4.7,-2.76
201007,6.93,0.2,0.01,4.11,0.76,-0.31,1.88
201008,-4.77,-3,0.01,1,-3.85,-1.9,-0.06
201009,9.54,3.96,0.01,3.29,1.93,-3.16,1.41
201010,3.88,1.13,0.01,-1.34,-2.27,-2.42,1.58
201011,0.6,3.76,0.01,-0.95,-0.93,-0.96,2.66
201012,6.82,0.73,0.01,2.27,4.71,3.69,-3.03
201101,1.99,-2.5,0.01,-0.09,0.88,0.82,-0.29
201102,3.49,1.53,0.01,-0.69,1.14,1.27,1.99
201103,0.46,2.54,0.01,-0.86,-2,-1.83,3.4
201104,2.9,-0.38,0,-1.08,-2.21,-2.43,0.04
201105,-1.27,-0.59,0,-1.22,-2.43,-2.12,-0.62
201106,-1.75,-0.12,0,-0.93,-1.96,-0.42,1.78
201107,-2.35,-1.27,0,-1.07,-2.49,-0.89,0.18
201108,-5.99,-3.05,0.01,-1.35,-6.31,-2.36,-0.28
201109,-7.59,-3.31,0,-9.57,-5.15,-1.73,-2.42
201110,11.35,3.28,0,12.21,3.65,0.11,-1.43
201111,-0.28,-0.16,0,1.25,-3.48,-0.45,3.84
201112,0.74,-0.59,0,-1.54,2.09,1.63,1.81
201201,5.05,2.04,0,6.52,1.58,-0.97,-7.91
201202,4.42,-1.85,0,-0.34,1.73,0.43,-0.29
201203,3.11,-0.64,0,-0.8,2.73,1.14,1.3
201204,-0.85,-0.42,0,-0.46,-1.87,-0.78,3.75
201205,-6.19,0.07,0.01,-3.34,-1.75,-1.07,6.49
201206,3.89,0.67,0,-0.79,1.66,0.62,-1.06
201207,0.79,-2.75,0,1.47,-1.96,-0.02,3.04
201208,2.55,0.47,0.01,3.03,1.87,1.3,-2.37
201209,2.73,0.51,0.01,-0.19,1.79,1.6,-1.14
201210,-1.76,-1.15,0.01,0.25,1.06,3.59,0.14
201211,0.78,0.63,0.01,0.91,-0.68,-0.84,0.49
201212,1.18,1.48,0.01,0.18,3.76,3.51,-2.86
201301,5.57,0.34,0,-1.42,3.34,0.96,-1.79
201302,1.29,-0.27,0,-1.19,0.04,0.11,1.29
201303,4.03,0.81,0,-1.86,1.29,-0.19,1.92
201304,1.55,-2.37,0,-1.19,-0.36,0.45,0.22
201305,2.8,1.71,0,1.64,3.34,2.63,-2.02
201306,-1.2,1.33,0,0.5,-0.64,0.03,0.52
201307,5.65,1.87,0,1.95,1.66,0.57,1.76
201308,-2.71,0.27,0,-0.82,-1.35,-2.69,0.02
201309,3.77,2.87,0,-0.46,0.02,-1.22,3.06
201310,4.18,-1.52,0,-0.13,0.3,1.25,0.08
201311,3.13,1.29,0,0.67,0.35,0.32,0.44
201312,2.81,-0.47,0,1.35,-1.05,-0.02,0.02
201401,-3.32,0.89,0,0.33,1.16,-2.07,1.71
201402,4.65,0.34,0,-0.2,-1.3,-0.31,2.07
201403,0.43,-1.81,0,2.66,2.91,4.93,-3.29
201404,-0.19,-4.18,0,-2.1,0.13,1.17,-3.89
201405,2.06,-1.88,0,0.47,-0.7,-0.13,0.87
201406,2.61,3.09,0,-0.52,0.4,-0.7,0.69
201407,-2.04,-4.3,0,2.66,0.28,0.04,-0.12
201408,4.24,0.4,0,1.61,-1.35,-0.45,0.82
201409,-1.97,-3.7,0,-0.19,-1.09,-1.35,0.5
201410,2.52,4.2,0,-2.6,-3.22,-1.8,-0.06
201411,2.55,-2.06,0,-3.29,-1.57,-3.1,0.68
201412,-0.06,2.49,0,-1.01,0.46,2.27,1.12
201501,-3.11,-0.56,0,-0.42,-3.34,-3.59,3.84
201502,6.13,0.63,0,3.54,-2.04,-1.86,-2.82
201503,-1.12,3.04,0,-0.12,-2.52,-0.38,2.74
201504,0.59,-3.06,0,4.12,1.2,1.82,-7.27
201505,1.36,0.94,0,2.4,-0.81,-1.15,5.82
201506,-1.53,2.91,0,-3.59,-0.98,-0.79,3.01
201507,1.54,-4.17,0,-4.94,-1.6,-4.13,9.98
201508,-6.04,0.33,0,1.52,1.25,2.77,-2.09
201509,-3.07,-2.62,0,-3.19,0.07,0.56,5.22
201510,7.75,-1.89,0,0.91,-0.68,-0.46,-3.28
201511,0.57,3.59,0,0.11,-0.07,-0.42,2.28
201512,-2.17,-2.85,0.01,1.13,-2.45,-2.61,3.36
201601,-5.77,-3.42,0.01,-2.85,-1.1,2.09,1.44
201602,-0.07,0.74,0.02,-0.92,0.67,-0.57,-4.38
201603,6.96,0.82,0.02,1.53,4.11,1.19,-5.01
201604,0.91,0.76,0.01,0.43,4.94,3.28,-6.02
201605,1.78,-0.17,0.01,0.12,-2.22,-1.66,1.43
201606,-0.05,0.61,0.02,1.46,1.4,-1.48,4.15
201607,3.95,2.49,0.02,4.5,-0.22,-1.32,-3.34
201608,0.49,1.16,0.02,-0.34,0.69,3.18,-3.48
201609,0.25,2.12,0.02,0.03,1.76,-1.24,0.19
201610,-2.02,-4.4,0.02,2.55,-0.97,4.09,0.59
201611,4.86,5.71,0.01,0.3,2.18,8.21,-4.63
201612,1.82,0.1,0.03,-1.18,-2.72,3.53,-0.25
201701,1.94,-1.18,0.04,3.34,-1.27,-2.75,-0.93
201702,3.57,-2.05,0.04,-1.05,-3.33,-1.67,-1.65
201703,0.17,1.14,0.03,-0.84,-1.23,-3.35,-1.03
201704,1.09,0.73,0.05,-2.12,-3.64,-2.13,0.49
201705,1.06,-2.57,0.06,-3.36,-2.65,-3.78,1.48
201706,0.78,2.25,0.06,4.09,-0.65,1.48,-0.11
201707,1.87,-1.5,0.07,2.02,0.61,-0.31,1.69
201708,0.16,-1.67,0.09,-0.35,-1.98,-2.1,3.3
201709,2.51,4.47,0.09,2.79,0.58,3.12,-1.33
201710,2.25,-1.94,0.09,-0.74,-1.82,0.19,4.27
201711,3.12,-0.54,0.08,0.44,0.77,-0.03,-0.92
201712,1.06,-1.32,0.09,-0.74,2.07,0.06,-1.54
201801,5.57,-3.12,0.12,0.66,-1.91,-1.28,4.05
201802,-3.65,0.26,0.11,-1.03,-3.38,-1.04,3.55
201803,-2.35,4.06,0.11,0.31,1.95,-0.2,-1.13
201804,0.29,1.13,0.14,-0.81,2.9,0.54,0.37
201805,2.65,5.26,0.14,-0.12,-0.23,-3.22,3.87
201806,0.48,1.14,0.14,0.65,0.95,-2.33,-2.36
201807,3.19,-2.22,0.16,1.75,-1.47,0.45,-1.42
201808,3.44,1.15,0.16,1.53,-2.78,-4,5.28
201809,0.06,-2.29,0.15,0.09,1.85,-1.71,0.04
201810,-7.68,-4.74,0.19,1.25,-1.63,3.4,-2.07
201811,1.69,-0.68,0.18,1.23,-4.02,0.28,-1.37
201812,-9.57,-2.37,0.2,-1.6,-2.83,-1.88,2.11
201901,8.4,2.88,0.21,8.11,2.24,-0.45,-8.66
201902,3.4,2.06,0.18,-0.17,-0.65,-2.71,0.85
201903,1.1,-3.05,0.19,0.07,-0.85,-4.12,2.19
201904,3.97,-1.72,0.21,0.85,-3,2.16,-2.97
201905,-6.94,-1.31,0.21,0.79,-4.27,-2.37,7.58
201906,6.93,0.28,0.18,3.81,-0.34,-0.7,-2.25
201907,1.19,-1.93,0.19,-0.2,-3.14,0.47,2.88
201908,-2.58,-2.39,0.16,-2.38,-4.93,-4.79,6.91
201909,1.43,-0.97,0.18,5.07,2.71,6.77,-6.83
201910,2.06,0.29,0.16,-0.4,-3.31,-1.9,0.15
201911,3.88,0.78,0.12,-0.16,0.13,-1.99,-2.64
201912,2.77,0.73,0.14,0.66,1.28,1.78,-1.87
202001,-0.11,-3.13,0.13,2.56,-5.18,-6.25,5.97
202002,-8.13,1.07,0.12,-2.44,-1.63,-3.8,-0.35
202003,-13.39,-4.79,0.13,-11.63,-8.53,-13.88,7.96
202004,13.65,2.45,0,15.77,3.13,-1.34,-5.26
202005,5.58,2.49,0.01,-3.29,-2.44,-4.85,0.41
202006,2.46,2.69,0.01,-1.92,1.83,-2.23,-0.73
202007,5.77,-2.3,0.01,-3.25,-0.2,-1.44,7.59
202008,7.63,-0.28,0.01,-2.29,1.89,-2.88,0.44
202009,-3.63,-0.03,0.01,0.42,-3,-2.65,3.14
202010,-2.1,4.27,0.01,0.62,-0.95,4.31,-3.2
202011,12.47,5.72,0.01,3.08,6.16,2.15,-12.47
202012,4.63,4.79,0.01,-3.11,-0.72,-1.34,-2.38
202101,-0.03,7.5,0.01,0.68,9.3,2.85,4.53
202102,2.78,2.07,0,4.49,4.2,7.1,-7.93
202103,3.08,-2.28,0,-0.89,3.22,7.27,-6.16
202104,4.93,-3.2,0,1.32,-1.83,-0.95,1.22
202105,0.29,-0.27,0,1.37,5.36,7.13,0.9
202106,2.75,1.6,0,3.1,-1.78,-7.75,2.16
202107,1.27,-3.94,0,-0.72,-7.4,-1.81,-2.31
202108,2.91,-0.46,0,-1.51,-1,-0.1,2.49
202109,-4.37,0.67,0,0.74,4.78,5.1,1.5
202110,6.65,-2.37,0,-1.61,-3.15,-0.45,3.24
202111,-1.55,-1.32,0,-2.7,-4.12,-0.41,0.86
202112,3.1,-1.64,0.01,-0.16,-0.14,3.22,-2.74
202201,-6.25,-5.96,0,-4.92,11.91,12.8,-2.62
202202,-2.29,2.19,0,-3.32,5.23,3.1,1.77
202203,3.06,-1.66,0.01,-0.03,1.41,-1.76,2.97
202204,-9.46,-1.38,0.01,-1.99,7.01,6.17,4.87
202205,-0.34,-1.96,0.03,-2.07,5.79,8.59,2.46
202206,-8.44,2.18,0.06,1.64,-2.02,-6.1,0.73
202207,9.57,2.8,0.08,6.37,-6.45,-4.03,-3.94
202208,-3.77,1.4,0.19,1.65,4.37,0.29,2.1
202209,-9.35,-0.82,0.19,-1.69,-1.26,0.02,3.51
202210,7.83,0.07,0.23,0.35,9.08,8.06,3.96
202211,4.61,-3.51,0.29,0.55,-0.67,1.41,-1.98
202212,-6.41,-0.69,0.33,-3.39,2.11,1.34,4.53
202301,6.64,5.01,0.35,9.47,-1.21,-4,-16.02
202302,-2.59,1.17,0.34,-1.34,-2.19,-0.83,0.13
202303,2.51,-5.51,0.36,-2.48,-5.75,-8.87,-2.45
202304,0.61,-3.36,0.35,-0.76,-0.55,-0.05,1.62
202305,0.35,1.6,0.36,4.04,-3.96,-7.74,-0.65
202306,6.47,1.55,0.4,0.83,0.14,-0.2,-2.35
202307,3.21,2.05,0.45,-1.84,3.19,4.11,-4.05
202308,-2.39,-3.2,0.45,2.25,-2.49,-1.08,3.77
202309,-5.24,-2.49,0.43,-2.68,-0.05,1.45,0.24
202310,-3.18,-3.88,0.47,-2.57,-2.02,0.19,1.68
202311,8.83,-0.03,0.44,3.28,0.98,1.66,2.76
202312,4.87,6.36,0.43,-4.09,0.21,4.92,-5.48
202401,0.7,-5.02,0.47,2.21,0.82,-2.47,5.08
202402,5.07,-0.22,0.42,-1.59,0.61,-3.52,4.98
202403,2.83,-2.51,0.43,0.17,0.13,4.22,-0.4
202404,-4.67,-2.39,0.47,-3.81,-2.25,-0.52,-0.42
202405,4.34,0.78,0.44,-1.71,-2.28,-1.67,-0.02
202406,2.77,-3.06,0.41,-1.95,-2.4,-3.31,0.9
202407,1.24,6.8,0.45,3.47,1.74,5.74,-2.42
202408,1.61,-3.55,0.48,-0.17,0.98,-1.13,4.79
202409,1.74,-0.17,0.4,0.56,-0.1,-2.59,-0.6
202410,-0.97,-1.01,0.39,-1.38,2.21,0.89,2.87
202411,6.51,4.63,0.4,-4.58,0.57,-0.05,0.9
202412,-3.17,-2.73,0.37,0.33,-1.97,-2.95,0.05
