,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
193804,14.51,6.46,0.01,14.02,-3.32,0.23,-8.49
193805,-3.83,-2.51,0,7.02,3.87,-0.27,7.01
193806,23.87,4.3,0,23.81,-12.3,0.32,-24.79
193807,7.34,6.64,-0.01,-3.87,-2.79,2.2,-7.02
193808,-2.67,-2.45,0,-1.09,-3.14,-4.72,3.64
193809,0.81,-2.73,0.02,0.93,-0.65,-1.62,2.58
193810,7.8,5.81,0.01,3.59,5.42,5.03,-7.77
193811,-1.72,-2.57,-0.06,1.54,-3.04,-1.22,3.07
193812,4.19,-1.82,0,2.43,-1.29,0.53,2.18
193901,-5.96,-1.55,-0.01,4.27,-1.08,-3.94,-3.04
193902,3.51,0.63,0.01,3.93,2.41,2.95,3.27
193903,-11.99,-4.75,-0.01,5.06,-7.37,-8.31,-1.55
193904,-0.18,1.67,0,3.28,1.07,-0.3,2.56
193905,6.8,2.8,0.01,3.45,-0.07,0.49,3.54
193906,-5.31,-1.01,0.01,3.56,-5.04,-5.42,2.05
193907,10.24,4.32,0,14.13,1.45,-0.03,-0.55
193908,-6.68,-4.61,-0.01,7.09,-0.32,-2.42,5.95
193909,16.88,20.24,0.01,19.88,14.98,22.22,-31.03
193910,-0.53,-0.01,0,12.98,-3.89,-4.89,6.56
193911,-3.62,-5.07,0,-9.06,-3.88,-6.46,-0.29
193912,3.03,0.79,0,-0.9,-1.65,-4.06,5.38
194001,-2.41,0.21,0,3.18,3.68,-0.81,1.75
194002,1.44,2.51,0,2.69,-1.19,-0.33,1.79
194003,2.05,1.25,0,2,-1.2,-1.27,-0.36
194004,0.22,3.92,0,1.93,1.33,-0.13,3.24
194005,-21.95,-6.66,-0.02,-0.5,-3.21,-3.69,2.95
194006,6.67,-2.13,0,5.71,1.67,4.62,-2.14
194007,3.16,1.01,0.01,2.49,-1.41,-0.74,0.8
194008,2.19,-0.11,-0.01,1.35,-1.8,0.56,-1.57
194009,2.39,3.22,0,-0.54,-1.59,-1.13,-0.28
194010,3.02,0.28,0,0.3,0.86,4.64,-6.51
194011,-1.61,1.94,0,0.92,-5.03,0.12,1.28
194012,0.69,-2.15,0,2.17,-2.94,-0.89,3.48
194101,-4.17,1,-0.01,4.03,2.85,3.83,-4.43
194102,-1.43,-1.56,-0.01,0.49,-1.65,0.89,0.97
194103,0.84,0.1,0.01,1.82,0.61,3.04,2.44
194104,-5.46,-1.68,-0.01,-1.91,-0.6,3.41,3.01
194105,1.39,-0.65,0,0.83,-0.28,0.6,2.52
194106,5.83,1.32,0,1.11,-1.01,0.59,-0.95
194107,5.87,5.71,0.03,1.39,8.62,7.25,-1.63
194108,-0.17,-0.42,0.01,0.84,-1.66,-1.1,0.12
194109,-0.87,-0.99,0.01,-0.47,-3.54,-0.28,-1.65
194110,-5.25,-2.02,0,-1.96,-3.41,1.63,4.75
194111,-1.92,-1.21,0,-1.88,-1.85,-0.64,4.05
194112,-4.87,-2.99,0.01,-1.92,-5.98,-5.94,0.25
194201,0.79,7.53,0.02,9.41,14.48,10.1,-3.57
194202,-2.46,1.72,0.01,0.93,1.19,-1.13,-0.75
194203,-6.58,1.77,0.01,-2.03,-0.06,-0.62,-0.33
194204,-4.37,-0.6,0.01,0.72,-0.08,2.09,-0.71
194205,5.94,-3.05,0.03,-0.37,-3.59,-2.65,-4.71
194206,2.69,-1.22,0.02,0.55,-0.15,0.54,-1.32
194207,3.51,-0.15,0.03,2.22,3.45,2.4,0.75
194208,1.8,-0.09,0.03,0.17,0.06,1.35,-0.18
194209,2.61,0.63,0.03,1.24,3.11,2.35,-0.64
194210,6.82,1.75,0.03,-1.39,8.81,6.39,-4.07
194211,0.15,-1.5,0.03,6.47,-3.21,-4.21,-0.88
194212,5.12,-2.51,0.03,2,1.59,0.58,3.26
194301,7.13,8.8,0.03,5.71,12.2,8.18,-0.36
194302,6.15,4.75,0.03,-5.39,9.66,6.4,-1.55
194303,6.01,4.99,0.03,-2.08,5.02,5.48,4.85
194304,0.81,2.05,0.03,1.25,4.61,5.82,6.17
194305,5.74,4.35,0.03,-0.29,5.61,3.25,5.64
194306,1.82,-1.02,0.03,1.89,-1.26,-0.7,-1.29
194307,-4.77,-2.39,0.03,0.22,-2.15,-2.29,-4.57
194308,1.3,-0.6,0.03,2.43,-0.76,-0.43,0.88
194309,2.4,1.29,0.03,0.56,2.99,1.43,1.8
194310,-1.15,0.58,0.03,3.03,-1.7,1.64,-0.57
194311,-5.91,-1.65,0.03,-0.49,-4.2,-4.02,-4.6
194312,6.36,3.34,0.03,8.62,3.32,3.24,6.03
194401,1.74,2.55,0.03,1.08,2.57,2.16,0.98
194402,0.37,-0.1,0.03,0.27,-0.4,0.84,0.33
194403,2.46,1.73,0.02,-0.16,1.52,3.43,2.51
194404,-1.69,-1.37,0.03,1.95,-0.56,-1.14,0.55
194405,5.07,1.68,0.03,2.5,-0.33,1.04,1.98
194406,5.49,4.01,0.03,-1.43,0.5,1.75,-5.13
194407,-1.49,0.58,0.03,3.08,1.35,-0.42,0.13
194408,1.57,2.33,0.03,2.29,0.64,-1.49,4.66
194409,0.01,0.49,0.02,1.19,0.17,-1.16,-1.06
194410,0.16,-0.15,0.03,0.55,-0.84,-0.33,-1.34
194411,1.71,0.36,0.03,0.91,-2.32,2.38,1.34
194412,4.03,2.25,0.02,-1.81,-0.31,5.91,3.36
194501,2.01,2.46,0.03,3.34,0.53,0.67,0.02
