
2024-11-12 18:39:30.273523,andrefilipe24,880,Lose
2024-11-12 18:39:37.591334,marinheiro812,20,Win
2024-11-12 18:39:44.318898,joaotss1,600,Lose
2024-11-12 18:39:59.287745,pedroch71210,100,Win
2024-11-12 18:40:17.801764,manoquico,163,Lose
2024-11-12 18:40:18.702476,hopzzy_,20,Win
2024-11-12 18:40:47.889552,sengo00,169,Win
2024-11-12 18:41:33.325146,ZMCttv,2000,Lose
2024-11-12 18:42:05.349706,pedrocarvalho_07,459,Win
2024-11-12 18:42:31.795212,muttew,145,Win
2024-11-12 18:42:37.739171,V1uvaNegra,200,Win
2024-11-12 18:42:41.833325,no_nick05,100,Lose
2024-11-12 18:43:07.590413,Bets closed
2024-11-12 19:17:07.061774,New bet
2024-11-12 19:17:28.803373,camile2024,5000,Win
2024-11-12 19:18:28.803084,wartrading,30,Lose
2024-11-12 19:18:40.148302,renazbizt,1000,Lose
2024-11-12 19:18:43.003080,miguelapcastro,15,Win
2024-11-12 19:18:47.109270,JustSengo,271,Win
2024-11-12 19:18:47.694490,xatan_17,510,Win
2024-11-12 19:19:00.546175,JDS_7_,200,Lose
2024-11-12 19:19:03.002726,pedroch71210,148,Win
2024-11-12 19:19:18.073127,loboj26,95,Lose
2024-11-12 19:20:48.015634,morgoth15_,300,Win
2024-11-12 19:21:03.577555,YoungJesusOnTheStreets,3000,Win
2024-11-12 19:21:05.219390,kirkcs10,430,Win
2024-11-12 19:21:09.290428,xcosta_1,5000,Win
2024-11-12 19:21:12.076424,kazocas,1991,Win
2024-11-12 19:21:14.525864,yarizone,45,Win
2024-11-12 19:21:30.167114,lebzera_,300,Lose
2024-11-12 19:21:31.618443,xicogs,449,Lose
2024-11-12 19:21:51.455455,V1uvaNegra,200,Lose
2024-11-12 19:22:06.493551,El_Pipow,2080,Lose
2024-11-12 19:22:07.192897,Bets closed
2024-11-12 19:56:10.030896,New bet
2024-11-12 19:56:38.735919,camile2024,5000,Win
2024-11-12 19:56:49.382061,renazbizt,1000,Lose
2024-11-12 19:56:53.140985,manuds,1500,Lose
2024-11-12 19:57:05.959407,andrebarros21_,505,Win
2024-11-12 19:57:06.549408,marinheiro812,79,Win
2024-11-12 19:57:20.921680,hopzzy_,78,Win
2024-11-12 19:57:35.889952,sengo00,300,Lose
2024-11-12 19:57:50.696367,afvaz,155,Win
2024-11-12 19:57:55.448309,chesser_0214,15,Win
2024-11-12 19:57:58.131331,xcosta_1,1000,Lose
2024-11-12 19:57:58.610663,remborion,10,Win
2024-11-12 19:57:58.826882,bjorn_vk,200,Win
2024-11-12 19:58:16.504764,21_vegeta,50,Lose
2024-11-12 19:58:18.374076,cmrsantos2012,10,Win
2024-11-12 19:58:30.150342,pedroch71210,157,Win
2024-11-12 19:59:31.257471,kazocas,250,Lose
2024-11-12 19:59:48.849246,pedrocarvalho_07,350,Win
2024-11-12 20:00:22.441727,figassss_,425,Win
2024-11-12 20:00:32.008464,lebzera_,350,Lose
2024-11-12 20:00:35.753265,deadpool_13_,50,Win
2024-11-12 20:00:43.873955,notnephira,220,Win
2024-11-12 20:00:45.180000,0rogerthat0,40,Win
2024-11-12 20:00:53.487373,P4kistaN,300,Lose
2024-11-12 20:00:58.448814,V1uvaNegra,100,Lose
2024-11-12 20:01:04.450959,Magitek_PT,1000,Win
2024-11-12 20:01:10.154693,Bets closed
2024-11-13 17:10:19.108656,New bet
2024-11-13 17:10:21.467894,camile2024,5000,Win
2024-11-13 17:10:37.484687,davidafonsotabu,132,Win
2024-11-13 17:10:44.898315,Pico_07,665,Lose
2024-11-13 17:10:48.179361,rodrig04p,85,Lose
2024-11-13 17:10:53.745343,joaomsk007,174,Win
2024-11-13 17:10:55.082039,fids18,285,Lose
